时间,国家,地区,确诊,死亡,病死率
2020-03-18,加拿大,不列颠哥伦比亚,231,7,3%
2020-03-18,加拿大,安大略,214,1,0.5%
2020-03-18,加拿大,阿尔伯塔,119,0,0%
2020-03-18,加拿大,魁北克,94,1,1.1%
2020-03-18,加拿大,曼尼托巴省,17,0,0%
2020-03-18,加拿大,萨斯喀彻温省,16,0,0%
2020-03-18,加拿大,新斯科舍省,12,0,0%
2020-03-18,加拿大,新不伦瑞克省,11,0,0%
2020-03-18,加拿大,至尊公主号,9,0,0%
2020-03-18,加拿大,纽芬兰省,3,0,0%
2020-03-18,加拿大,爱德华王子岛,1,0,0%
2020-03-18,美国,纽约,3074,20,0.7%
2020-03-18,美国,华盛顿州,1187,68,5.7%
2020-03-18,美国,加州,865,16,1.8%
2020-03-18,美国,新泽西,427,5,1.2%
2020-03-18,美国,佛罗里达,324,8,2.5%
2020-03-18,美国,伊利诺伊,290,1,0.3%
2020-03-18,美国,路易斯安那,280,7,2.5%
2020-03-18,美国,马萨诸塞,256,0,0%
2020-03-18,美国,科罗拉多,221,2,0.9%
2020-03-18,美国,德克萨斯,201,3,1.5%
2020-03-18,美国,乔治亚,197,4,2%
2020-03-18,美国,宾夕法尼亚,155,1,0.6%
2020-03-18,美国,密西根,119,1,0.8%
2020-03-18,美国,威斯康星,111,0,0%
2020-03-18,美国,田纳西,100,0,0%
2020-03-18,美国,康涅狄格,96,1,1%
2020-03-18,美国,北卡,93,0,0%
2020-03-18,美国,俄亥俄,89,0,0%
2020-03-18,美国,马里兰,85,1,1.2%
2020-03-18,美国,弗吉尼亚,79,2,2.5%
2020-03-18,美国,明尼苏达,77,0,0%
2020-03-18,美国,俄勒冈,75,3,4%
2020-03-18,美国,犹他,66,0,0%
2020-03-18,美国,南卡,60,1,1.7%
2020-03-18,美国,内华达,57,1,1.8%
2020-03-18,美国,阿拉巴马,52,0,0%
2020-03-18,美国,钻石公主号,47,0,0%
2020-03-18,美国,缅因,42,0,0%
2020-03-18,美国,新罕布什尔,39,0,0%
2020-03-18,美国,印第安纳,39,2,5.1%
2020-03-18,美国,爱荷华,38,0,0%
2020-03-18,美国,肯塔基,35,1,2.9%
2020-03-18,美国,密西西比,34,0,0%
2020-03-18,美国,罗德岛,33,0,0%
2020-03-18,美国,阿肯色,33,0,0%
2020-03-18,美国,华盛顿特区,32,0,0%
2020-03-18,美国,俄克拉荷马,31,0,0%
2020-03-18,美国,内布拉斯加,29,0,0%
2020-03-18,美国,新墨西哥,28,0,0%
2020-03-18,美国,亚利桑那,27,0,0%
2020-03-18,美国,特拉华,26,0,0%
2020-03-18,美国,密苏里,24,1,4.2%
2020-03-18,美国,堪萨斯,22,1,4.5%
2020-03-18,美国,至尊公主号,21,0,0%
2020-03-18,美国,佛蒙特,18,0,0%
2020-03-18,美国,怀俄明,17,0,0%
2020-03-18,美国,夏威夷,16,0,0%
2020-03-18,美国,南达科塔,11,1,9.1%
2020-03-18,美国,蒙大拿,11,0,0%
2020-03-18,美国,阿拉斯加,9,0,0%
2020-03-18,美国,爱达荷,9,0,0%
2020-03-18,美国,北达科塔,7,0,0%
2020-03-18,美国,波多黎各,5,0,0%
2020-03-18,美国,关岛,5,0,0%
2020-03-18,美国,武汉撤侨,3,0,0%
2020-03-18,美国,美属维京群岛,2,0,0%
2020-03-18,美国,西弗吉尼亚,2,0,0%
