时间,国家,地区,确诊,死亡,病死率
2020-03-15,加拿大,安大略,145,0,0%
2020-03-15,加拿大,不列颠哥伦比亚,73,1,1.4%
2020-03-15,加拿大,阿尔伯塔,56,0,0%
2020-03-15,加拿大,魁北克,39,0,0%
2020-03-15,加拿大,曼尼托巴省,7,0,0%
2020-03-15,加拿大,新不伦瑞克省,6,0,0%
2020-03-15,加拿大,萨斯喀彻温省,6,0,0%
2020-03-15,加拿大,至尊公主号,4,0,0%
2020-03-15,加拿大,新斯科舍省,3,0,0%
2020-03-15,加拿大,爱德华王子岛,1,0,0%
2020-03-15,加拿大,纽芬兰省,1,0,0%
2020-03-15,美国,华盛顿州,769,42,5.5%
2020-03-15,美国,纽约,744,6,0.8%
2020-03-15,美国,加州,431,6,1.4%
2020-03-15,美国,马萨诸塞,164,0,0%
2020-03-15,美国,佛罗里达,136,4,2.9%
2020-03-15,美国,科罗拉多,131,1,0.8%
2020-03-15,美国,乔治亚,111,1,0.9%
2020-03-15,美国,路易斯安那,103,2,1.9%
2020-03-15,美国,新泽西,101,2,2%
2020-03-15,美国,伊利诺伊,92,0,0%
2020-03-15,美国,德克萨斯,74,0,0%
2020-03-15,美国,宾夕法尼亚,66,0,0%
2020-03-15,美国,钻石公主号,46,0,0%
2020-03-15,美国,弗吉尼亚,45,1,2.2%
2020-03-15,美国,密西根,45,0,0%
2020-03-15,美国,俄勒冈,39,1,2.6%
2020-03-15,美国,田纳西,39,0,0%
2020-03-15,美国,俄亥俄,37,0,0%
2020-03-15,美国,明尼苏达,35,0,0%
2020-03-15,美国,威斯康星,34,0,0%
2020-03-15,美国,北卡,33,0,0%
2020-03-15,美国,马里兰,33,0,0%
2020-03-15,美国,南卡,28,0,0%
2020-03-15,美国,犹他,28,0,0%
2020-03-15,美国,内华达,26,0,0%
2020-03-15,美国,康涅狄格,26,0,0%
2020-03-15,美国,阿拉巴马,22,0,0%
2020-03-15,美国,肯塔基,21,0,0%
2020-03-15,美国,至尊公主号,21,0,0%
2020-03-15,美国,罗德岛,20,0,0%
2020-03-15,美国,印第安纳,20,0,0%
2020-03-15,美国,内布拉斯加,19,0,0%
2020-03-15,美国,华盛顿特区,18,0,0%
2020-03-15,美国,爱荷华,18,0,0%
2020-03-15,美国,新墨西哥,17,0,0%
2020-03-15,美国,阿肯色,16,0,0%
2020-03-15,美国,亚利桑那,13,0,0%
2020-03-15,美国,新罕布什尔,13,0,0%
2020-03-15,美国,缅因,12,0,0%
2020-03-15,美国,密西西比,10,0,0%
2020-03-15,美国,堪萨斯,9,1,11.1%
2020-03-15,美国,南达科塔,9,1,11.1%
2020-03-15,美国,佛蒙特,8,0,0%
2020-03-15,美国,俄克拉荷马,7,0,0%
2020-03-15,美国,夏威夷,7,0,0%
2020-03-15,美国,特拉华,7,0,0%
2020-03-15,美国,蒙大拿,7,0,0%
2020-03-15,美国,密苏里,5,0,0%
2020-03-15,美国,爱达荷,5,0,0%
2020-03-15,美国,波多黎各,5,0,0%
2020-03-15,美国,武汉撤侨,3,0,0%
2020-03-15,美国,怀俄明,3,0,0%
2020-03-15,美国,关岛,3,0,0%
2020-03-15,美国,北达科塔,1,0,0%
2020-03-15,美国,阿拉斯加,1,0,0%
2020-03-15,美国,美属维京群岛,1,0,0%
