时间,国家,地区,确诊,死亡,病死率
2020-03-16,加拿大,安大略,177,0,0%
2020-03-16,加拿大,不列颠哥伦比亚,103,4,3.9%
2020-03-16,加拿大,阿尔伯塔,74,0,0%
2020-03-16,加拿大,魁北克,50,0,0%
2020-03-16,加拿大,至尊公主号,8,0,0%
2020-03-16,加拿大,曼尼托巴省,8,0,0%
2020-03-16,加拿大,新不伦瑞克省,7,0,0%
2020-03-16,加拿大,萨斯喀彻温省,7,0,0%
2020-03-16,加拿大,新斯科舍省,5,0,0%
2020-03-16,加拿大,爱德华王子岛,1,0,0%
2020-03-16,加拿大,纽芬兰省,1,0,0%
2020-03-16,美国,纽约,968,10,1%
2020-03-16,美国,华盛顿州,904,48,5.3%
2020-03-16,美国,加州,557,7,1.3%
2020-03-16,美国,马萨诸塞,197,0,0%
2020-03-16,美国,新泽西,179,3,1.7%
2020-03-16,美国,佛罗里达,160,5,3.1%
2020-03-16,美国,科罗拉多,160,1,0.6%
2020-03-16,美国,路易斯安那,136,3,2.2%
2020-03-16,美国,乔治亚,121,1,0.8%
2020-03-16,美国,伊利诺伊,105,0,0%
2020-03-16,美国,德克萨斯,90,0,0%
2020-03-16,美国,宾夕法尼亚,79,0,0%
2020-03-16,美国,明尼苏达,54,0,0%
2020-03-16,美国,密西根,54,0,0%
2020-03-16,美国,田纳西,52,0,0%
2020-03-16,美国,弗吉尼亚,52,2,3.8%
2020-03-16,美国,俄亥俄,50,0,0%
2020-03-16,美国,威斯康星,48,0,0%
2020-03-16,美国,钻石公主号,47,0,0%
2020-03-16,美国,俄勒冈,47,1,2.1%
2020-03-16,美国,内华达,45,1,2.2%
2020-03-16,美国,马里兰,42,0,0%
2020-03-16,美国,康涅狄格,41,0,0%
2020-03-16,美国,北卡,39,0,0%
2020-03-16,美国,犹他,39,0,0%
2020-03-16,美国,南卡,33,1,3%
2020-03-16,美国,阿拉巴马,29,0,0%
2020-03-16,美国,印第安纳,25,1,4%
2020-03-16,美国,爱荷华,23,0,0%
2020-03-16,美国,华盛顿特区,22,0,0%
2020-03-16,美国,阿肯色,22,0,0%
2020-03-16,美国,罗德岛,21,0,0%
2020-03-16,美国,肯塔基,21,1,4.8%
2020-03-16,美国,新墨西哥,21,0,0%
2020-03-16,美国,至尊公主号,20,0,0%
2020-03-16,美国,亚利桑那,18,0,0%
2020-03-16,美国,内布拉斯加,18,0,0%
2020-03-16,美国,新罕布什尔,17,0,0%
2020-03-16,美国,缅因,17,0,0%
2020-03-16,美国,佛蒙特,12,0,0%
2020-03-16,美国,密西西比,12,0,0%
2020-03-16,美国,堪萨斯,11,1,9.1%
2020-03-16,美国,俄克拉荷马,10,0,0%
2020-03-16,美国,南达科塔,10,1,10%
2020-03-16,美国,夏威夷,8,0,0%
2020-03-16,美国,密苏里,8,0,0%
2020-03-16,美国,特拉华,8,0,0%
2020-03-16,美国,蒙大拿,7,0,0%
2020-03-16,美国,爱达荷,5,0,0%
2020-03-16,美国,波多黎各,5,0,0%
2020-03-16,美国,武汉撤侨,3,0,0%
2020-03-16,美国,怀俄明,3,0,0%
2020-03-16,美国,关岛,3,0,0%
2020-03-16,美国,北达科塔,1,0,0%
2020-03-16,美国,阿拉斯加,1,0,0%
2020-03-16,美国,美属维京群岛,1,0,0%
