date,name,省份,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
2020-01-24,广东省,广东省,30,18,25,78,0,0
2020-01-24,广西壮族自治区,广西壮族自治区,13,6,10,23,0,0
2020-01-24,海南省,海南省,0,0,5,10,0,0
2020-01-24,重庆市,重庆市,55,86,30,57,0,0
2020-01-24,四川省,四川省,25,25,13,28,0,0
2020-01-24,贵州省,贵州省,0,0,1,4,0,0
2020-01-24,云南省,云南省,4,4,3,5,0,0
2020-01-24,陕西省,陕西省,0,0,2,5,0,0
2020-01-24,甘肃省,甘肃省,0,0,2,4,0,0
2020-01-24,宁夏回族自治区,宁夏回族自治区,1,1,1,3,0,0
2020-01-24,新疆维吾尔自治区,新疆维吾尔自治区,0,0,1,3,0,0
2020-01-24,台湾省,台湾省,0,0,2,3,0,0
2020-01-24,香港特别行政区,香港特别行政区,0,0,3,5,0,0
2020-01-24,澳门特别行政区,澳门特别行政区,0,0,0,2,0,0
2020-01-25,北京市,北京市,0,0,15,51,0,0
2020-01-25,天津市,天津市,40,61,2,10,0,0
2020-01-25,河北省,河北省,7,5,5,13,0,1
2020-01-25,山西省,山西省,14,28,3,9,0,0
2020-01-25,内蒙古自治区,内蒙古自治区,0,0,5,7,0,0
2020-01-25,辽宁省,辽宁省,18,24,5,17,0,0
2020-01-25,吉林省,吉林省,3,3,0,4,0,0
2020-01-25,黑龙江省,黑龙江省,9,13,6,15,0,1
2020-01-25,上海市,上海市,52,95,7,40,1,1
2020-01-25,江苏省,江苏省,0,0,17,31,0,0
2020-01-25,浙江省,浙江省,0,20,42,104,0,0
2020-01-25,安徽省,安徽省,18,15,21,60,0,0
2020-01-25,福建省,福建省,25,27,8,18,0,0
2020-01-25,江西省,江西省,21,30,18,36,0,0
2020-01-25,山东省,山东省,12,11,18,39,0,0
2020-01-25,河南省,河南省,114,165,51,83,1,1
2020-01-25,湖北省,湖北省,712,1887,323,1052,13,52
2020-01-25,湖南省,湖南省,34,25,45,69,0,0
2020-01-25,广东省,广东省,45,40,20,98,0,0
2020-01-25,广西壮族自治区,广西壮族自治区,21,21,10,33,0,0
2020-01-25,海南省,海南省,0,1,10,20,0,0
2020-01-25,重庆市,重庆市,106,146,18,75,0,0
2020-01-25,四川省,四川省,26,34,16,44,0,0
2020-01-25,贵州省,贵州省,2,2,1,5,0,0
2020-01-25,云南省,云南省,29,29,6,11,0,0
2020-01-25,陕西省,陕西省,0,0,10,15,0,0
2020-01-25,甘肃省,甘肃省,0,0,3,7,0,0
2020-01-25,青海省,青海省,0,0,1,1,0,0
2020-01-25,宁夏回族自治区,宁夏回族自治区,0,1,1,4,0,0
2020-01-25,新疆维吾尔自治区,新疆维吾尔自治区,1,1,1,4,0,0
2020-01-25,台湾省,台湾省,0,0,0,3,0,0
2020-01-25,香港特别行政区,香港特别行政区,0,0,0,5,0,0
2020-01-25,澳门特别行政区,澳门特别行政区,0,0,0,2,0,0
2020-01-26,北京市,北京市,0,0,16,67,0,0
2020-01-26,天津市,天津市,48,85,5,15,0,0
2020-01-26,河北省,河北省,11,13,5,18,0,1
2020-01-26,山西省,山西省,34,57,4,13,0,0
2020-01-26,内蒙古自治区,内蒙古自治区,4,1,4,11,0,0
2020-01-26,辽宁省,辽宁省,37,40,5,22,0,0
2020-01-26,吉林省,吉林省,1,3,2,6,0,0
2020-01-26,黑龙江省,黑龙江省,40,47,6,21,0,1
2020-01-26,上海市,上海市,65,90,13,53,0,1
2020-01-26,江苏省,江苏省,0,0,16,47,0,0
2020-01-26,浙江省,浙江省,68,63,24,128,0,0
2020-01-26,安徽省,安徽省,36,43,10,70,0,0
2020-01-26,福建省,福建省,49,59,17,35,0,0
2020-01-26,江西省,江西省,50,68,12,48,0,0
2020-01-26,山东省,山东省,33,35,22,61,0,0
2020-01-26,河南省,河南省,112,212,45,128,0,1
2020-01-26,湖北省,湖北省,2793,4472,371,1423,24,76
2020-01-26,湖南省,湖南省,47,42,31,100,0,0
2020-01-26,广东省,广东省,73,54,48,146,0,0
2020-01-26,广西壮族自治区,广西壮族自治区,35,40,13,46,0,0
2020-01-26,海南省,海南省,0,0,7,27,0,0
2020-01-26,重庆市,重庆市,117,188,35,110,0,0
2020-01-26,四川省,四川省,79,92,25,69,0,0
2020-01-26,贵州省,贵州省,3,3,2,7,0,0
2020-01-26,云南省,云南省,55,75,10,21,0,0
2020-01-26,陕西省,陕西省,0,0,7,22,0,0
2020-01-26,甘肃省,甘肃省,6,6,7,14,0,0
2020-01-26,青海省,青海省,3,0,3,4,0,0
2020-01-26,宁夏回族自治区,宁夏回族自治区,0,0,3,7,0,0
2020-01-26,新疆维吾尔自治区,新疆维吾尔自治区,7,6,1,5,0,0
2020-01-26,台湾省,台湾省,0,0,1,4,0,0
2020-01-26,香港特别行政区,香港特别行政区,0,0,3,8,0,0
2020-01-26,澳门特别行政区,澳门特别行政区,0,0,3,5,0,0
2020-01-27,北京市,北京市,0,0,13,80,1,1
2020-01-27,天津市,天津市,44,88,8,23,0,0
2020-01-27,河北省,河北省,38,20,15,33,0,1
2020-01-27,山西省,山西省,23,44,7,20,0,0
2020-01-27,内蒙古自治区,内蒙古自治区,1,2,2,13,0,0
2020-01-27,辽宁省,辽宁省,22,52,5,27,0,0
2020-01-27,吉林省,吉林省,1,3,2,8,0,0
2020-01-27,黑龙江省,黑龙江省,36,67,9,30,0,1
2020-01-27,上海市,上海市,70,129,13,66,0,1
2020-01-27,江苏省,江苏省,0,0,23,70,0,0
2020-01-27,浙江省,浙江省,52,115,45,173,0,0
2020-01-27,安徽省,安徽省,38,42,36,106,0,0
2020-01-27,福建省,福建省,37,68,24,59,0,0
2020-01-27,江西省,江西省,46,88,24,72,0,0
2020-01-27,山东省,山东省,24,42,26,87,0,0
2020-01-27,河南省,河南省,122,266,40,168,0,1
2020-01-27,湖北省,湖北省,1191,5324,1291,2714,24,100
2020-01-27,湖南省,湖南省,53,52,43,143,0,0
2020-01-27,广东省,广东省,47,73,42,188,0,0
2020-01-27,广西壮族自治区,广西壮族自治区,49,11,5,51,0,0
2020-01-27,海南省,海南省,21,21,11,38,1,1
2020-01-27,重庆市,重庆市,31,219,22,132,0,0
2020-01-27,四川省,四川省,78,138,21,90,0,0
2020-01-27,贵州省,贵州省,0,1,2,9,0,0
2020-01-27,云南省,云南省,51,104,11,32,0,0
2020-01-27,陕西省,陕西省,0,0,13,35,0,0
2020-01-27,甘肃省,甘肃省,0,2,5,19,0,0
2020-01-27,青海省,青海省,0,0,2,6,0,0
2020-01-27,宁夏回族自治区,宁夏回族自治区,0,0,4,11,0,0
2020-01-27,新疆维吾尔自治区,新疆维吾尔自治区,2,2,5,10,0,0
2020-01-27,台湾省,台湾省,0,0,1,5,0,0
2020-01-27,香港特别行政区,香港特别行政区,0,0,0,8,0,0
2020-01-27,澳门特别行政区,澳门特别行政区,0,0,2,7,0,0
2020-01-28,北京市,北京市,0,0,16,96,0,1
2020-01-28,天津市,天津市,45,103,2,25,0,0
2020-01-28,河北省,河北省,45,56,15,48,0,1
2020-01-28,山西省,山西省,21,41,7,27,0,0
2020-01-28,内蒙古自治区,内蒙古自治区,3,3,3,16,0,0
2020-01-28,辽宁省,辽宁省,40,72,9,36,0,0
2020-01-28,吉林省,吉林省,1,2,1,9,0,0
2020-01-28,黑龙江省,黑龙江省,45,68,7,37,0,1
2020-01-28,上海市,上海市,70,167,14,80,0,1
2020-01-28,江苏省,江苏省,0,0,29,99,0,0
2020-01-28,浙江省,浙江省,105,101,123,296,0,0
2020-01-28,安徽省,安徽省,43,55,46,152,0,0
2020-01-28,福建省,福建省,45,80,23,82,0,0
2020-01-28,江西省,江西省,60,107,37,109,0,0
2020-01-28,山东省,山东省,39,55,34,121,0,0
2020-01-28,河南省,河南省,232,411,38,206,1,2
2020-01-28,湖北省,湖北省,1876,6940,840,3554,25,125
2020-01-28,湖南省,湖南省,114,85,78,221,0,0
2020-01-28,广东省,广东省,91,122,53,241,0,0
2020-01-28,广西壮族自治区,广西壮族自治区,74,118,7,58,0,0
2020-01-28,海南省,海南省,27,48,5,43,0,1
2020-01-28,重庆市,重庆市,108,246,15,147,0,0
2020-01-28,四川省,四川省,87,182,18,108,0,0
2020-01-28,贵州省,贵州省,3,3,0,9,0,0
2020-01-28,云南省,云南省,65,163,19,51,0,0
2020-01-28,陕西省,陕西省,0,0,11,46,0,0
2020-01-28,甘肃省,甘肃省,5,5,5,24,0,0
2020-01-28,青海省,青海省,0,0,0,6,0,0
2020-01-28,宁夏回族自治区,宁夏回族自治区,2,2,1,12,0,0
2020-01-28,新疆维吾尔自治区,新疆维吾尔自治区,1,3,3,13,0,0
2020-01-28,台湾省,台湾省,0,0,3,8,0,0
2020-01-28,香港特别行政区,香港特别行政区,0,0,0,8,0,0
2020-01-28,澳门特别行政区,澳门特别行政区,0,0,0,7,0,0
2020-01-29,北京市,北京市,0,0,16,112,0,1
2020-01-29,天津市,天津市,40,104,2,27,0,0
2020-01-29,河北省,河北省,38,68,17,65,0,1
2020-01-29,山西省,山西省,28,54,8,35,0,0
2020-01-29,内蒙古自治区,内蒙古自治区,0,0,2,18,0,0
2020-01-29,辽宁省,辽宁省,35,85,3,39,0,0
2020-01-29,吉林省,吉林省,5,10,5,14,0,0
2020-01-29,黑龙江省,黑龙江省,48,105,6,43,0,1
2020-01-29,上海市,上海市,46,180,21,101,0,1
2020-01-29,江苏省,江苏省,0,0,30,129,0,0
2020-01-29,浙江省,浙江省,103,117,132,428,0,0
2020-01-29,安徽省,安徽省,45,67,48,200,0,0
2020-01-29,福建省,福建省,54,110,19,101,0,0
2020-01-29,江西省,江西省,61,123,53,162,0,0
2020-01-29,山东省,山东省,37,79,24,145,0,0
2020-01-29,河南省,河南省,267,584,72,278,0,2
2020-01-29,湖北省,湖北省,2493,9033,1032,4586,37,162
2020-01-29,湖南省,湖南省,202,223,56,277,0,0
2020-01-29,广东省,广东省,78,137,70,311,0,0
2020-01-29,广西壮族自治区,广西壮族自治区,102,155,20,78,0,0
2020-01-29,海南省,海南省,18,66,3,46,0,1
2020-01-29,重庆市,重庆市,152,279,18,165,0,0
2020-01-29,四川省,四川省,106,243,34,142,1,1
2020-01-29,贵州省,贵州省,6,6,3,12,0,0
2020-01-29,云南省,云南省,90,191,19,70,0,0
2020-01-29,西藏自治区,西藏自治区,0,0,1,1,0,0
2020-01-29,陕西省,陕西省,67,116,17,63,0,0
2020-01-29,甘肃省,甘肃省,6,8,2,26,0,0
2020-01-29,青海省,青海省,1,1,0,6,0,0
2020-01-29,宁夏回族自治区,宁夏回族自治区,0,1,5,17,0,0
2020-01-29,新疆维吾尔自治区,新疆维吾尔自治区,20,22,1,14,0,0
2020-01-29,台湾省,台湾省,0,0,0,8,0,0
2020-01-29,香港特别行政区,香港特别行政区,0,0,2,10,0,0
2020-01-29,澳门特别行政区,澳门特别行政区,0,0,0,7,0,0
2020-01-30,北京市,北京市,0,0,20,132,0,1
2020-01-30,天津市,天津市,77,150,5,32,0,0
2020-01-30,河北省,河北省,51,78,17,82,0,1
2020-01-30,山西省,山西省,23,67,4,39,0,0
2020-01-30,内蒙古自治区,内蒙古自治区,1,1,2,20,0,0
2020-01-30,辽宁省,辽宁省,45,89,6,45,0,0
2020-01-30,吉林省,吉林省,3,10,0,14,0,0
2020-01-30,黑龙江省,黑龙江省,76,128,16,59,1,2
2020-01-30,上海市,上海市,91,164,27,128,0,1
2020-01-30,江苏省,江苏省,0,0,39,168,0,0
2020-01-30,浙江省,浙江省,102,154,109,537,0,0
2020-01-30,安徽省,安徽省,71,98,37,237,0,0
2020-01-30,福建省,福建省,58,116,19,120,0,0
2020-01-30,江西省,江西省,106,197,78,240,0,0
2020-01-30,山东省,山东省,54,90,33,178,0,0
2020-01-30,河南省,河南省,280,735,74,352,0,2
2020-01-30,湖北省,湖北省,2867,11272,1220,5806,42,204
2020-01-30,湖南省,湖南省,152,303,55,332,0,0
2020-01-30,广东省,广东省,77,151,82,393,0,0
2020-01-30,广西壮族自治区,广西壮族自治区,117,256,9,87,0,0
2020-01-30,海南省,海南省,28,73,3,49,0,1
2020-01-30,重庆市,重庆市,192,378,41,206,0,0
2020-01-30,四川省,四川省,97,241,36,177,0,1
2020-01-30,贵州省,贵州省,72,75,3,15,0,0
2020-01-30,云南省,云南省,107,236,10,80,0,0
2020-01-30,西藏自治区,西藏自治区,0,0,0,1,0,0
2020-01-30,陕西省,陕西省,47,132,24,87,0,0
2020-01-30,甘肃省,甘肃省,5,15,4,30,0,0
2020-01-30,青海省,青海省,0,0,2,8,0,0
2020-01-30,宁夏回族自治区,宁夏回族自治区,0,1,4,21,0,0
2020-01-30,新疆维吾尔自治区,新疆维吾尔自治区,13,28,3,17,0,0
2020-01-30,台湾省,台湾省,0,0,1,9,0,0
2020-01-30,香港特别行政区,香港特别行政区,0,0,2,12,0,0
2020-01-30,澳门特别行政区,澳门特别行政区,0,0,0,7,0,0
2020-01-31,北京市,北京市,0,0,24,156,0,1
2020-01-31,天津市,天津市,53,142,2,34,0,0
2020-01-31,河北省,河北省,47,88,14,96,0,1
2020-01-31,山西省,山西省,28,75,8,47,0,0
2020-01-31,内蒙古自治区,内蒙古自治区,4,4,3,23,0,0
2020-01-31,辽宁省,辽宁省,55,122,15,60,0,0
2020-01-31,吉林省,吉林省,6,10,3,17,0,0
2020-01-31,黑龙江省,黑龙江省,76,149,21,80,0,2
2020-01-31,上海市,上海市,99,167,25,153,0,1
2020-01-31,江苏省,江苏省,36,42,34,202,0,0
2020-01-31,浙江省,浙江省,111,202,62,599,0,0
2020-01-31,安徽省,安徽省,77,117,60,297,0,0
2020-01-31,福建省,福建省,53,111,24,144,0,0
2020-01-31,江西省,江西省,118,260,47,286,0,0
2020-01-31,山东省,山东省,30,83,24,202,0,0
2020-01-31,河南省,河南省,279,751,70,422,0,2
2020-01-31,湖北省,湖北省,3097,13577,1347,7153,45,249
2020-01-31,湖南省,湖南省,223,426,57,389,0,0
2020-01-31,广东省,广东省,43,126,127,520,0,0
2020-01-31,广西壮族自治区,广西壮族自治区,116,288,13,100,0,0
2020-01-31,海南省,海南省,30,95,8,57,0,1
2020-01-31,重庆市,重庆市,185,408,32,238,1,1
2020-01-31,四川省,四川省,81,256,30,207,0,1
2020-01-31,贵州省,贵州省,27,67,14,29,0,0
2020-01-31,云南省,云南省,90,228,11,91,0,0
2020-01-31,西藏自治区,西藏自治区,0,0,0,1,0,0
2020-01-31,陕西省,陕西省,47,158,15,101,0,0
2020-01-31,甘肃省,甘肃省,1,15,6,35,0,0
2020-01-31,青海省,青海省,1,1,0,8,0,0
2020-01-31,宁夏回族自治区,宁夏回族自治区,0,1,5,26,0,0
2020-01-31,新疆维吾尔自治区,新疆维吾尔自治区,6,19,1,18,0,0
2020-01-31,台湾省,台湾省,0,0,1,10,0,0
2020-01-31,香港特别行政区,香港特别行政区,0,0,1,13,0,0
2020-01-31,澳门特别行政区,澳门特别行政区,0,0,0,7,0,0
2020-02-01,北京市,北京市,0,0,27,183,0,1
2020-02-01,天津市,天津市,57,112,11,45,0,0
2020-02-01,河北省,河北省,60,104,8,104,0,1
2020-02-01,山西省,山西省,26,64,9,56,0,0
2020-02-01,内蒙古自治区,内蒙古自治区,5,7,3,26,0,0
2020-02-01,辽宁省,辽宁省,48,116,4,64,0,0
2020-02-01,吉林省,吉林省,10,14,6,23,0,0
2020-02-01,黑龙江省,黑龙江省,78,172,15,95,0,2
2020-02-01,上海市,上海市,103,168,24,177,0,1
2020-02-01,江苏省,江苏省,34,47,34,236,0,0
2020-02-01,浙江省,浙江省,109,207,62,661,0,0
2020-02-01,安徽省,安徽省,82,160,43,340,0,0
2020-02-01,福建省,福建省,39,99,15,159,0,0
2020-02-01,江西省,江西省,100,312,47,333,0,0
2020-02-01,山东省,山东省,42,81,23,225,0,0
2020-02-01,河南省,河南省,254,754,71,493,0,2
2020-02-01,湖北省,湖北省,2606,14872,1921,9074,45,294
2020-02-01,湖南省,湖南省,186,434,74,463,0,0
2020-02-01,广东省,广东省,69,157,85,604,0,0
2020-02-01,广西壮族自治区,广西壮族自治区,136,319,11,111,0,0
2020-02-01,海南省,海南省,38,101,6,63,0,1
2020-02-01,重庆市,重庆市,175,425,24,262,0,1
2020-02-01,四川省,四川省,87,247,24,231,0,1
2020-02-01,贵州省,贵州省,24,59,9,38,0,0
2020-02-01,云南省,云南省,90,261,8,99,0,0
2020-02-01,西藏自治区,西藏自治区,0,0,0,1,0,0
2020-02-01,陕西省,陕西省,77,201,15,116,0,0
2020-02-01,甘肃省,甘肃省,10,20,5,40,0,0
2020-02-01,青海省,青海省,2,2,1,9,0,0
2020-02-01,宁夏回族自治区,宁夏回族自治区,7,8,2,28,0,0
2020-02-01,新疆维吾尔自治区,新疆维吾尔自治区,8,21,3,21,0,0
2020-02-01,台湾省,台湾省,0,0,0,10,0,0
2020-02-01,香港特别行政区,香港特别行政区,0,0,1,14,0,0
2020-02-01,澳门特别行政区,澳门特别行政区,0,0,0,7,0,0
2020-02-02,北京市,北京市,0,0,32,212,0,1
2020-02-02,天津市,天津市,65,133,4,49,0,0
2020-02-02,河北省,河北省,50,108,9,113,0,1
2020-02-02,山西省,山西省,32,64,10,66,0,0
2020-02-02,内蒙古自治区,内蒙古自治区,1,4,7,33,0,0
2020-02-02,辽宁省,辽宁省,56,113,6,70,0,0
2020-02-02,吉林省,吉林省,12,17,8,31,0,0
2020-02-02,黑龙江省,黑龙江省,73,163,23,118,0,2
2020-02-02,上海市,上海市,96,173,16,193,0,1
2020-02-02,江苏省,江苏省,26,44,35,271,0,0
2020-02-02,浙江省,浙江省,102,201,63,724,0,0
2020-02-02,安徽省,安徽省,75,153,68,408,0,0
2020-02-02,福建省,福建省,47,96,20,179,0,0
2020-02-02,江西省,江西省,104,359,59,391,0,0
2020-02-02,山东省,山东省,28,62,21,246,0,0
2020-02-02,河南省,河南省,260,760,73,566,0,2
2020-02-02,湖北省,湖北省,3260,16898,2103,11177,56,350
2020-02-02,湖南省,湖南省,183,351,58,521,0,0
2020-02-02,广东省,广东省,86,205,79,683,0,0
2020-02-02,广西壮族自治区,广西壮族自治区,128,330,16,127,0,0
2020-02-02,海南省,海南省,50,113,7,70,0,1
2020-02-02,重庆市,重庆市,178,398,38,300,1,2
2020-02-02,四川省,四川省,103,268,23,254,0,1
2020-02-02,贵州省,贵州省,18,41,8,46,0,0
2020-02-02,云南省,云南省,85,252,10,109,0,0
2020-02-02,西藏自治区,西藏自治区,0,0,0,1,0,0
2020-02-02,陕西省,陕西省,36,205,12,128,0,0
2020-02-02,甘肃省,甘肃省,3,9,11,51,0,0
2020-02-02,青海省,青海省,0,0,4,13,0,0
2020-02-02,宁夏回族自治区,宁夏回族自治区,4,12,3,31,0,0
2020-02-02,新疆维吾尔自治区,新疆维吾尔自治区,12,26,3,24,0,0
2020-02-02,台湾省,台湾省,0,0,0,10,0,0
2020-02-02,香港特别行政区,香港特别行政区,0,0,1,15,0,0
2020-02-02,澳门特别行政区,澳门特别行政区,0,0,1,8,0,0
2020-02-03,北京市,北京市,65,141,16,228,0,1
2020-02-03,天津市,天津市,85,168,14,63,0,0
2020-02-03,河北省,河北省,41,93,13,126,0,1
2020-02-03,山西省,山西省,21,62,8,74,0,0
2020-02-03,内蒙古自治区,内蒙古自治区,0,2,4,37,0,0
2020-02-03,辽宁省,辽宁省,42,120,4,74,0,0
2020-02-03,吉林省,吉林省,17,24,11,42,0,0
2020-02-03,黑龙江省,黑龙江省,93,178,39,155,0,2
2020-02-03,上海市,上海市,84,168,15,208,0,1
2020-02-03,江苏省,江苏省,39,47,37,308,0,0
2020-02-03,浙江省,浙江省,173,258,105,829,0,0
2020-02-03,安徽省,安徽省,57,124,72,480,0,0
2020-02-03,福建省,福建省,32,87,15,194,0,0
2020-02-03,江西省,江西省,92,319,85,476,0,0
2020-02-03,山东省,山东省,33,70,24,270,0,0
2020-02-03,河南省,河南省,248,678,109,675,0,2
2020-02-03,湖北省,湖北省,3182,18549,2345,13522,64,414
2020-02-03,湖南省,湖南省,137,289,72,593,0,0
2020-02-03,广东省,广东省,48,180,114,797,0,0
2020-02-03,广西壮族自治区,广西壮族自治区,130,364,12,139,0,0
2020-02-03,海南省,海南省,31,109,9,79,0,1
2020-02-03,重庆市,重庆市,170,387,37,337,0,2
2020-02-03,四川省,四川省,82,258,28,282,0,1
2020-02-03,贵州省,贵州省,17,33,10,56,0,0
2020-02-03,云南省,云南省,64,225,8,117,0,0
2020-02-03,西藏自治区,西藏自治区,0,0,0,1,0,0
2020-02-03,陕西省,陕西省,53,221,14,142,0,0
2020-02-03,甘肃省,甘肃省,7,9,5,56,0,0
2020-02-03,青海省,青海省,0,0,2,15,0,0
2020-02-03,宁夏回族自治区,宁夏回族自治区,6,18,3,34,0,0
2020-02-03,新疆维吾尔自治区,新疆维吾尔自治区,23,33,5,29,0,0
2020-02-03,台湾省,台湾省,0,0,0,10,0,0
2020-02-03,香港特别行政区,香港特别行政区,0,0,0,15,0,0
2020-02-03,澳门特别行政区,澳门特别行政区,0,0,0,8,0,0
2020-02-04,北京市,北京市,63,160,25,253,0,1
2020-02-04,天津市,天津市,97,190,4,67,0,0
2020-02-04,河北省,河北省,58,117,9,135,0,1
2020-02-04,山西省,山西省,14,42,7,81,0,0
2020-02-04,内蒙古自治区,内蒙古自治区,0,1,5,42,0,0
2020-02-04,辽宁省,辽宁省,35,127,7,81,0,0
